MainGroup,StackGroup,SubGroup,Value,Category,Title,xlabel
0-30k,0 Vehicles,Model,264110,income,Household Income,0
30k-60k,0 Vehicles,Model,90546,income,Household Income,2
60k-100k,0 Vehicles,Model,47491,income,Household Income,4
100k+,0 Vehicles,Model,39685,income,Household Income,6
1 Person HH,0 Vehicles,Model,274654,size,Household Size,0
2 Person HH,0 Vehicles,Model,92351,size,Household Size,2
3 Person HH,0 Vehicles,Model,35653,size,Household Size,4
4 Person HH,0 Vehicles,Model,21904,size,Household Size,6
5+ Person HH,0 Vehicles,Model,17270,size,Household Size,8
0 Workers,0 Vehicles,Model,233647,workers,Number of Workers,0
1 Worker,0 Vehicles,Model,158511,workers,Number of Workers,2
2 Workers,0 Vehicles,Model,41318,workers,Number of Workers,4
3+ Workers,0 Vehicles,Model,8356,workers,Number of Workers,6
0-30k,1 Vehicle,Model,437623,income,Household Income,0
30k-60k,1 Vehicle,Model,413303,income,Household Income,2
60k-100k,1 Vehicle,Model,264852,income,Household Income,4
100k+,1 Vehicle,Model,219000,income,Household Income,6
1 Person HH,1 Vehicle,Model,690815,size,Household Size,0
2 Person HH,1 Vehicle,Model,347555,size,Household Size,2
3 Person HH,1 Vehicle,Model,138362,size,Household Size,4
4 Person HH,1 Vehicle,Model,90131,size,Household Size,6
5+ Person HH,1 Vehicle,Model,67915,size,Household Size,8
0 Workers,1 Vehicle,Model,432365,workers,Number of Workers,0
1 Worker,1 Vehicle,Model,694959,workers,Number of Workers,2
2 Workers,1 Vehicle,Model,184994,workers,Number of Workers,4
3+ Workers,1 Vehicle,Model,22460,workers,Number of Workers,6
0-30k,2 Vehicles,Model,126622,income,Household Income,0
30k-60k,2 Vehicles,Model,292363,income,Household Income,2
60k-100k,2 Vehicles,Model,382776,income,Household Income,4
100k+,2 Vehicles,Model,615349,income,Household Income,6
1 Person HH,2 Vehicles,Model,93236,size,Household Size,0
2 Person HH,2 Vehicles,Model,630357,size,Household Size,2
3 Person HH,2 Vehicles,Model,243245,size,Household Size,4
4 Person HH,2 Vehicles,Model,260045,size,Household Size,6
5+ Person HH,2 Vehicles,Model,190227,size,Household Size,8
0 Workers,2 Vehicles,Model,203167,workers,Number of Workers,0
1 Worker,2 Vehicles,Model,481059,workers,Number of Workers,2
2 Workers,2 Vehicles,Model,662851,workers,Number of Workers,4
3+ Workers,2 Vehicles,Model,70033,workers,Number of Workers,6
0-30k,3 Vehicles,Model,20825,income,Household Income,0
30k-60k,3 Vehicles,Model,69794,income,Household Income,2
60k-100k,3 Vehicles,Model,129491,income,Household Income,4
100k+,3 Vehicles,Model,280948,income,Household Income,6
1 Person HH,3 Vehicles,Model,14069,size,Household Size,0
2 Person HH,3 Vehicles,Model,107945,size,Household Size,2
3 Person HH,3 Vehicles,Model,158669,size,Household Size,4
4 Person HH,3 Vehicles,Model,112858,size,Household Size,6
5+ Person HH,3 Vehicles,Model,107517,size,Household Size,8
0 Workers,3 Vehicles,Model,32087,workers,Number of Workers,0
1 Worker,3 Vehicles,Model,116758,workers,Number of Workers,2
2 Workers,3 Vehicles,Model,222687,workers,Number of Workers,4
3+ Workers,3 Vehicles,Model,129526,workers,Number of Workers,6
0-30k,4+ Vehicles,Model,6406,income,Household Income,0
30k-60k,4+ Vehicles,Model,19787,income,Household Income,2
60k-100k,4+ Vehicles,Model,43617,income,Household Income,4
100k+,4+ Vehicles,Model,146779,income,Household Income,6
1 Person HH,4+ Vehicles,Model,4917,size,Household Size,0
2 Person HH,4+ Vehicles,Model,23937,size,Household Size,2
3 Person HH,4+ Vehicles,Model,38028,size,Household Size,4
4 Person HH,4+ Vehicles,Model,69724,size,Household Size,6
5+ Person HH,4+ Vehicles,Model,79983,size,Household Size,8
0 Workers,4+ Vehicles,Model,8753,workers,Number of Workers,0
1 Worker,4+ Vehicles,Model,30898,workers,Number of Workers,2
2 Workers,4+ Vehicles,Model,65751,workers,Number of Workers,4
3+ Workers,4+ Vehicles,Model,111187,workers,Number of Workers,6
0-30k,0 Vehicles,Observed,270714,income,Household Income,1
30k-60k,0 Vehicles,Observed,91510,income,Household Income,3
60k-100k,0 Vehicles,Observed,48890,income,Household Income,5
100k+,0 Vehicles,Observed,40081,income,Household Income,7
1 Person HH,0 Vehicles,Observed,284247,size,Household Size,1
2 Person HH,0 Vehicles,Observed,94986,size,Household Size,3
3 Person HH,0 Vehicles,Observed,35566,size,Household Size,5
4 Person HH,0 Vehicles,Observed,21033,size,Household Size,7
5+ Person HH,0 Vehicles,Observed,15363,size,Household Size,9
0 Workers,0 Vehicles,Observed,241068,workers,Number of Workers,1
1 Worker,0 Vehicles,Observed,161755,workers,Number of Workers,3
2 Workers,0 Vehicles,Observed,40544,workers,Number of Workers,5
3+ Workers,0 Vehicles,Observed,7828,workers,Number of Workers,7
0-30k,1 Vehicle,Observed,454153,income,Household Income,1
30k-60k,1 Vehicle,Observed,424362,income,Household Income,3
60k-100k,1 Vehicle,Observed,276915,income,Household Income,5
100k+,1 Vehicle,Observed,227306,income,Household Income,7
1 Person HH,1 Vehicle,Observed,725436,size,Household Size,1
2 Person HH,1 Vehicle,Observed,366016,size,Household Size,3
3 Person HH,1 Vehicle,Observed,143130,size,Household Size,5
4 Person HH,1 Vehicle,Observed,88670,size,Household Size,7
5+ Person HH,1 Vehicle,Observed,59484,size,Household Size,9
0 Workers,1 Vehicle,Observed,453595,workers,Number of Workers,1
1 Worker,1 Vehicle,Observed,727250,workers,Number of Workers,3
2 Workers,1 Vehicle,Observed,181727,workers,Number of Workers,5
3+ Workers,1 Vehicle,Observed,20164,workers,Number of Workers,7
0-30k,2 Vehicles,Observed,134104,income,Household Income,1
30k-60k,2 Vehicles,Observed,297285,income,Household Income,3
60k-100k,2 Vehicles,Observed,386686,income,Household Income,5
100k+,2 Vehicles,Observed,609259,income,Household Income,7
1 Person HH,2 Vehicles,Observed,100387,size,Household Size,1
2 Person HH,2 Vehicles,Observed,650583,size,Household Size,3
3 Person HH,2 Vehicles,Observed,246108,size,Household Size,5
4 Person HH,2 Vehicles,Observed,257005,size,Household Size,7
5+ Person HH,2 Vehicles,Observed,173251,size,Household Size,9
0 Workers,2 Vehicles,Observed,214315,workers,Number of Workers,1
1 Worker,2 Vehicles,Observed,489364,workers,Number of Workers,3
2 Workers,2 Vehicles,Observed,660078,workers,Number of Workers,5
3+ Workers,2 Vehicles,Observed,63577,workers,Number of Workers,7
0-30k,3 Vehicles,Observed,21496,income,Household Income,1
30k-60k,3 Vehicles,Observed,70579,income,Household Income,3
60k-100k,3 Vehicles,Observed,126629,income,Household Income,5
100k+,3 Vehicles,Observed,266436,income,Household Income,7
1 Person HH,3 Vehicles,Observed,15373,size,Household Size,1
2 Person HH,3 Vehicles,Observed,113907,size,Household Size,3
3 Person HH,3 Vehicles,Observed,148121,size,Household Size,5
4 Person HH,3 Vehicles,Observed,108487,size,Household Size,7
5+ Person HH,3 Vehicles,Observed,99252,size,Household Size,9
0 Workers,3 Vehicles,Observed,34948,workers,Number of Workers,1
1 Worker,3 Vehicles,Observed,116324,workers,Number of Workers,3
