MainGroup,StackGroup,SubGroup,Value,Category,Title,xlabel
1 Adult,0 Children,Model,1077691,children,Number of Children,0
1 Adult,1 Child,Model,53685,children,Number of Children,2
1 Adult,2 Children,Model,41610,children,Number of Children,4
1 Adult,3+ Children,Model,27018,children,Number of Children,6
2 Adults,0 Children,Model,1148460,children,Number of Children,0
2 Adults,1 Child,Model,220790,children,Number of Children,2
2 Adults,2 Children,Model,270909,children,Number of Children,4
2 Adults,3+ Children,Model,154636,children,Number of Children,6
3 Adults,0 Children,Model,351557,children,Number of Children,0
3 Adults,1 Child,Model,107975,children,Number of Children,2
3 Adults,2 Children,Model,66782,children,Number of Children,4
3 Adults,3+ Children,Model,35921,children,Number of Children,6
4+ Adults,0 Children,Model,215918,children,Number of Children,0
4+ Adults,1 Child,Model,69971,children,Number of Children,2
4+ Adults,2 Children,Model,39419,children,Number of Children,4
4+ Adults,3+ Children,Model,29025,children,Number of Children,6
1 Adult,0 Children,Observed,1130573,children,Number of Children,1
1 Adult,1 Child,Observed,73141,children,Number of Children,3
1 Adult,2 Children,Observed,48268,children,Number of Children,5
1 Adult,3+ Children,Observed,26975,children,Number of Children,7
2 Adults,0 Children,Observed,1178221,children,Number of Children,1
2 Adults,1 Child,Observed,240873,children,Number of Children,3
2 Adults,2 Children,Observed,269611,children,Number of Children,5
2 Adults,3+ Children,Observed,141141,children,Number of Children,7
3 Adults,0 Children,Observed,319278,children,Number of Children,1
3 Adults,1 Child,Observed,114969,children,Number of Children,3
3 Adults,2 Children,Observed,65346,children,Number of Children,5
3 Adults,3+ Children,Observed,31779,children,Number of Children,7
4+ Adults,0 Children,Observed,180883,children,Number of Children,1
4+ Adults,1 Child,Observed,68674,children,Number of Children,3
4+ Adults,2 Children,Observed,35281,children,Number of Children,5
4+ Adults,3+ Children,Observed,24085,children,Number of Children,7
1 Adult,0 Workers,Model,531331,workers,Number of Workers,0
1 Adult,1 Worker,Model,668673,workers,Number of Workers,2
2 Adults,0 Workers,Model,328082,workers,Number of Workers,0
2 Adults,1 Worker,Model,619912,workers,Number of Workers,2
2 Adults,2 Workers,Model,846801,workers,Number of Workers,4
3 Adults,0 Workers,Model,37918,workers,Number of Workers,0
3 Adults,1 Worker,Model,145748,workers,Number of Workers,2
3 Adults,2 Workers,Model,230936,workers,Number of Workers,4
3 Adults,3+ Workers,Model,147633,workers,Number of Workers,6
4+ Adults,0 Workers,Model,12688,workers,Number of Workers,0
4+ Adults,1 Worker,Model,47852,workers,Number of Workers,2
4+ Adults,2 Workers,Model,99864,workers,Number of Workers,4
4+ Adults,3+ Workers,Model,193929,workers,Number of Workers,6
1 Adult,0 Workers,Observed,561017,workers,Number of Workers,1
1 Adult,1 Worker,Observed,717940,workers,Number of Workers,3
2 Adults,0 Workers,Observed,341839,workers,Number of Workers,1
2 Adults,1 Worker,Observed,629215,workers,Number of Workers,3
2 Adults,2 Workers,Observed,858792,workers,Number of Workers,5
3 Adults,0 Workers,Observed,38861,workers,Number of Workers,1
3 Adults,1 Worker,Observed,135833,workers,Number of Workers,3
3 Adults,2 Workers,Observed,215347,workers,Number of Workers,5
3 Adults,3+ Workers,Observed,141331,workers,Number of Workers,7
4+ Adults,0 Workers,Observed,11819,workers,Number of Workers,1
4+ Adults,1 Worker,Observed,42368,workers,Number of Workers,3
4+ Adults,2 Workers,Observed,85828,workers,Number of Workers,5
4+ Adults,3+ Workers,Observed,168908,workers,Number of Workers,7
